Rooms
"Building A, Room 101"
"Building B, Room 202"
"Building C, Room 303"
"Building D, Room 404"
"Building E, Room 505"
"Building F, Room 606"
"Building G, Room 707"
"Building H, Room 808"
"Building I, Room 909"
"Building J, Room 111"
"Building K, Room 222"
"Building L, Room 333"
"Building M, Room 444"
"Building N, Room 555"
"Building O, Room 666"
"Building P, Room 777"
"Building Q, Room 888"
"Building R, Room 999"
"Building S, Room 121"
"Building T, Room 232"
"Building U, Room 343"
"Building V, Room 454"
"Building W, Room 565"
"Building X, Room 676"
"Building Y, Room 787"
"Building Z, Room 898"
"Building AA, Room 123"
"Building BB, Room 234"
"Building CC, Room 345"
"Building DD, Room 456"
"Building EE, Room 567"
